id,key,value,type
7052904,maxspeed,50,regular
7052949,lit,yes,regular
7052949,name,Brasemstraat,regular
7052949,highway,residential,regular
7052949,surface,paving_stones,regular
7052949,maxspeed,30,regular
7052974,lit,yes,regular
7052974,name,Verlengde Hoogravenseweg,regular
7052974,oneway,yes,regular
7052974,highway,residential,regular
7052974,surface,paving_stones,regular
7052974,cycleway,opposite,regular
7052974,maxspeed,30,regular
7053000,hgv,destination,regular
7053000,name,Karperstraat,regular
7053000,oneway,yes,regular
7053000,highway,residential,regular
7053000,surface,paving_stones,regular
7053000,cycleway,opposite,regular
7053000,maxspeed,30,regular
7053023,lit,yes,regular
7053023,name,Troubadourhof,regular
7053023,highway,residential,regular
7053023,surface,paving_stones,regular
7053023,maxspeed,30,regular
7053039,lit,yes,regular
7053039,name,Hofnarlaan,regular
7053039,oneway,yes,regular
7053039,highway,residential,regular
7053039,surface,paving_stones,regular
7053039,cycleway,opposite,regular
7053039,maxspeed,30,regular
7053075,name,Reitdiepstraat,regular
7053075,highway,residential,regular
7053075,maxspeed,30,regular
7053095,access,private,regular
7053095,highway,service,regular
7053114,lit,yes,regular
7053114,name,Meervalstraat,regular
7053114,highway,service,regular
7053114,service,parking_aisle,regular
7053114,surface,paving_stones,regular
7053114,maxspeed,30,regular
7053138,lit,yes,regular
7053138,name,Kanaalweg,regular
7053138,highway,unclassified,regular
7053138,surface,asphalt,regular
7053138,maxspeed,50,regular
7053173,name,Verlengde Hoogravenseweg,regular
7053173,highway,unclassified,regular
7053173,maxspeed,80,regular
7053197,foot,no,regular
7053197,name,Mauritiuslaan,regular
7053197,oneway,yes,regular
7053197,bicycle,no,regular
7053197,highway,tertiary,regular
7053197,maxspeed,50,regular
7053236,foot,no,regular
7053236,name,Beneluxlaan,regular
7053236,lanes,3,regular
7053236,oneway,yes,regular
7053236,bicycle,no,regular
7053236,highway,secondary,regular
7053236,maxspeed,50,regular
7053270,foot,no,regular
7053270,name,Socrateslaan,regular
7053270,lanes,2,regular
7053270,oneway,yes,regular
7053270,bicycle,no,regular
7053270,highway,secondary,regular
7053270,maxspeed,50,regular
7053296,foot,no,regular
7053296,mofa,no,regular
7053296,name,Beneluxlaan,regular
7053296,lanes,2,regular
7053296,moped,no,regular
7053296,oneway,yes,regular
7053296,bicycle,no,regular
7053296,highway,secondary,regular
7053296,surface,asphalt,regular
7053296,maxspeed,50,regular
7053296,psv,1,lanes
7053316,ref,A12,regular
7053316,lanes,3,regular
7053316,oneway,yes,regular
7053316,highway,motorway,regular
7053316,int_ref,E 30;E 35,regular
7053316,surface,asphalt,regular
7053316,maxspeed,100,regular
7053338,name,Gelderlantlaan,regular
7053338,highway,path,regular
7053338,surface,fine_gravel,regular
7053338,vehicle,no,regular
7053338,traffic_sign,NL:C1,regular
7053404,name,Kaap de Goede Hooplaan,regular
7053404,oneway,yes,regular
7053404,highway,unclassified,regular
7053404,cycleway,opposite,regular
7053404,maxspeed,50,regular
7053424,name,Hollantlaan,regular
7053424,oneway,yes,regular
7053424,highway,unclassified,regular
7053424,maxspeed,50,regular
7053438,hgv,no,regular
7053438,name,Hollantlaan,regular
7053438,note,temporary changes during long term building works at IKEA,regular
7053438,oneway,yes,regular
7053438,highway,unclassified,regular
7053438,maxspeed,50,regular
7053510,foot,no,regular
7053510,name,Mauritiuslaan,regular
7053510,oneway,yes,regular
7053510,bicycle,no,regular
7053510,highway,tertiary,regular
7053510,maxspeed,50,regular
7053526,foot,no,regular
7053526,mofa,no,regular
7053526,moped,no,regular
7053526,oneway,yes,regular
7053526,bicycle,no,regular
7053526,highway,secondary,regular
7053526,maxspeed,80,regular
7053544,foot,no,regular
7053544,name,Europalaan,regular
7053544,oneway,yes,regular
7053544,bicycle,no,regular
7053544,highway,primary,regular
7053544,maxspeed,50,regular
7053562,foot,no,regular
7053562,name,Winthontlaan,regular
7053562,oneway,yes,regular
7053562,bicycle,no,regular
7053562,highway,primary,regular
7053562,maxspeed,50,regular
7053579,ref,A12,regular
7053579,note,Parallelrijbaan,regular
7053579,lanes,3,regular
7053579,layer,1,regular
7053579,bridge,yes,regular
7053579,oneway,yes,regular
7053579,highway,motorway,regular
7053579,surface,asphalt,regular
7053579,maxspeed,80,regular
7053579,name,Galecopperbrug,bridge
7053611,ref,A12,regular
7053611,lanes,3,regular
7053611,layer,1,regular
7053611,bridge,yes,regular
7053611,oneway,yes,regular
7053611,highway,motorway,regular
7053611,int_ref,E 30;E 35,regular
7053611,surface,asphalt,regular
7053611,maxspeed,100,regular
7053611,name,Galecopperbrug,bridge
7053631,moped,designated,regular
7053631,oneway,yes,regular
7053631,highway,cycleway,regular
7053631,surface,asphalt,regular
7053631,traffic_sign,NL:G12a,regular
7053644,name,Doctor Schaepmanstraat,regular
7053644,highway,residential,regular
7053644,maxspeed,30,regular
7053656,lit,yes,regular
7053656,name,Nederhoeve,regular
7053656,highway,residential,regular
7053674,name,Utrechtsestraatweg,regular
7053674,highway,residential,regular
7053674,cycleway,lane,regular
7053674,maxspeed,50,regular
7053694,name,Remiseweg,regular
7053694,oneway,yes,regular
7053694,highway,unclassified,regular
7053694,surface,asphalt,regular
7053694,maxspeed,80,regular
7053723,lit,yes,regular
7053723,foot,no,regular
7053723,mofa,no,regular
7053723,name,Taludweg,regular
7053723,moped,no,regular
7053723,oneway,yes,regular
7053723,bicycle,no,regular
7053723,highway,secondary,regular
7053723,surface,asphalt,regular
7053723,maxspeed,70,regular
7053723,embankment,yes,regular
7053745,name,Regaalsingel,regular
7053745,highway,residential,regular
7053756,lit,yes,regular
7053756,name,Aert de Gelderhage,regular
7053756,highway,residential,regular
7053756,surface,paving_stones,regular
